Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
CFBRSa50	2	0	0	0	0	0	0	0
CFBRSa51	1	2	0	0	0	0	2	0
CFBRSa66A	2	0	0	0	0	0	0	0
CFBRSa66B	1	0	0	0	0	0	0	0
CFBRSa70	2	1	2	0	0	0	0	0
CFBRSa74	2	0	0	0	0	0	1	0
CFBREBSa101	2	0	1	0	0	0	2	0
CFBREBSa102	2	0	1	0	0	0	2	0
CFBREBSa103	2	0	1	0	0	0	2	0
CFBREBSa104	2	0	1	0	0	0	2	0
CFBREBSa105	1	0	0	0	0	0	0	0
CFBREBSa108	2	1	0	0	0	0	2	0
CFBREBSa110	2	1	0	0	0	0	2	0
CFBREBSa112	2	0	0	0	0	0	2	0
CFBREBSa114	2	1	1	0	0	0	2	0
CFBREBSa116	2	1	0	0	0	0	1	0
CFBREBSa117	1	0	0	0	0	0	0	0
CFBREBSa118	2	0	0	0	0	0	2	0
CFBREBSa119	2	2	1	0	0	0	1	0
CFBREBSa121	1	0	1	0	0	0	1	0
CFBREBSa122	2	0	1	0	0	0	2	0
CFBREBSa123	0	0	1	0	0	0	0	0
CFBREBSa125	2	0	2	0	0	0	0	0
CFBREBSa126	0	0	2	0	0	0	0	0
CFBREBSa127	1	0	1	0	0	0	0	0
CFBREBSa129	0	0	1	0	0	0	0	0
CFBREBSa130	0	0	1	0	0	0	0	0
CFBREBSa131	2	2	0	0	1	1	2	0
CFBREBSa133	1	0	2	0	0	0	0	0
CFBREBSa135	0	0	2	0	0	0	0	0
CFBREBSa138	0	0	2	0	0	0	0	0
BCH-SA-01	0	1	2	1	0	0	0	0
BCH-SA-02	0	1	2	1	0	0	0	0
BCH-SA-03	2	2	0	0	1	0	1	0
BCH-SA-04	0	0	0	0	0	0	0	0
BCH-SA-05	0	1	1	0	0	0	0	0
BCH-SA-06	0	1	0	0	0	0	0	0
BCH-SA-07	1	0	0	0	0	0	0	0
BCH-SA-08	2	0	2	0	0	0	2	0
BCH-SA-09	2	2	0	0	1	1	2	1
BCH-SA-10	0	0	1	0	0	0	0	0
BCH-SA-11	2	2	0	0	0	1	2	0
BCH-SA-12	0	0	0	0	0	0	0	0
BCH-SA-13	2	0	1	0	0	0	1	0
BCH-SA-14	2	2	0	1	0	0	2	0
BCH-SA-15	0	0	1	0	0	0	0	0
NY341	2	0	1	0	0	0	1	0
GA984	2	1	0	0	0	0	2	0
GA15	2	2	2	1	0	0	1	0
GA231	2	1	2	0	0	0	2	0
NY360	2	1	2	0	0	0	1	0
MN055	2	1	2	0	0	0	2	0
NY439	2	2	1	0	0	0	2	0
SR1746	2	0	0	0	0	0	1	0
SR2091	2	1	0	0	0	0	1	0
SR3569	2	0	0	0	0	0	2	0
506	2	0	0	0	0	0	2	0
SR4153	1	0	1	0	0	0	1	0
NY593	2	0	0	0	0	0	1	0
NY224	1	1	1	0	0	0	1	0
120335	2	1	2	0	0	0	2	0
120337	2	1	2	0	0	0	2	0
407	2	1	2	0	0	0	1	0
Grady1	2	0	0	0	0	0	1	0
107	2	1	2	0	0	0	2	0
115	2	1	2	1	1	1	2	0
122VISA	2	1	2	0	0	0	2	0
126	2	1	1	1	0	0	1	0
217	2	1	1	0	0	0	1	0
221	1	0	1	0	0	0	0	0
312	2	2	2	1	1	0	2	0
109	1	0	0	0	0	0	0	0
123	2	0	0	0	0	0	0	0
504	1	0	1	0	0	0	0	0
120338	2	1	2	0	0	0	2	0
SR220	0	0	0	0	0	0	0	0
SR4152	2	1	2	1	0	0	2	0
NY356	2	1	2	0	0	0	2	0
NY417	2	1	0	0	0	0	1	0
SR3732	2	0	2	0	0	0	1	0
CA9	2	1	0	0	0	0	1	0
GA12	2	1	2	0	0	0	1	0
MN105	2	1	0	0	0	0	1	0
SR3777	2	0	0	0	0	0	2	0
SR4187	2	0	2	0	0	0	2	0
120336	2	1	1	0	0	0	2	0
SR3585	2	1	0	0	0	0	2	0
SR4035	2	0	1	0	0	0	1	0
SR1287	2	0	0	0	0	0	0	0
CA598	2	1	0	0	0	0	2	0
CA545	2	1	1	0	0	0	2	0
CA544	2	1	0	0	0	0	2	0
CA436	2	1	2	0	0	0	2	0
CA39	2	0	2	0	0	0	2	0
CA11	2	1	2	0	0	0	1	0
CA105	1	0	2	0	0	0	1	0
SR4156	2	0	2	0	0	0	2	0
GA53617	2	1	1	0	0	0	1	0
GA50245	0	0	0	0	0	0	0	0
GA53649	2	0	1	0	0	0	2	0
834N	2	0	0	0	0	0	2	0
EUH13	0	0	2	0	0	0	0	0
CA541	2	2	1	1	1	1	2	1
CA26	1	1	1	0	0	0	0	0
GA51254	2	0	2	1	0	0	0	0
SR4155	2	0	0	0	0	0	1	0
SR1065	2	0	0	0	0	0	2	0
GA50819	2	1	2	0	0	0	1	0
EUH25	0	0	2	0	0	0	0	0
EUH15	2	1	2	0	0	0	1	0
GA27	2	2	2	1	0	0	2	0
GA48963	1	0	2	0	0	0	1	0
SR1129	2	0	2	0	0	0	1	0
SR2609	2	0	2	0	0	0	1	0
SR2852	2	1	2	1	0	0	1	0
